SRR_ID	Tissue	Log2TPM1
SRR8177212	Adipose	2.987536617
SRR776497	Adipose	2.995159763
SRR3160074	Adipose	3.008793782
SRR776500	Adipose	3.008828734
SRR8177206	Adipose	3.009918081
SRR1572008	Adipose	3.016058917
SRR7144122	Adipose	3.054395459
SRR4344104	Adipose	3.068744061
SRR1979630	Adipose	3.07205142
SRR1572034	Adipose	3.080364831
SRR4344102	Adipose	3.111683383
SRR1572012	Adipose	3.116286065
SRR1572042	Adipose	3.131539769
SRR2995155	Adipose	3.133932208
SRR5042828	Adipose	3.148483985
SRR1572015	Adipose	3.15525816
SRR1572022	Adipose	3.157207379
SRR1979640	Adipose	3.165324293
SRX7805565	Adipose	3.169243889
SRR8177201	Adipose	3.176876125
SRR1572039	Adipose	3.179768197
SRR1572011	Adipose	3.187346055
SRR1572037	Adipose	3.196334782
SRR1572029	Adipose	3.196644653
SRR8177214	Adipose	3.201325531
SRR1572024	Adipose	3.214734557
SRR1572017	Adipose	3.215252714
SRR1572043	Adipose	3.215921148
SRR8844255	Adipose	3.217025001
Y300_2SF	Adipose	3.221183091
SRR8177213	Adipose	3.224718385
SRR8177204	Adipose	3.228130803
SRR1572027	Adipose	3.237046017
SRR2995148	Adipose	3.238657867
SRR1572032	Adipose	3.250528548
SRR1572033	Adipose	3.257242397
SRR1805943	Adipose	3.267031591
SRR1572013	Adipose	3.283488306
SRR1572031	Adipose	3.288377463
SRR1572016	Adipose	3.290440771
SRR1572023	Adipose	3.292472125
Y180_2PF	Adipose	3.294183279
SRR4299251	Adipose	3.294682499
SRR1572028	Adipose	3.302785201
SRR1572021	Adipose	3.306506363
SRR8177202	Adipose	3.308009275
SRR1572014	Adipose	3.311255331
SRR8177203	Adipose	3.322333147
SRR4344098	Adipose	3.355271872
SRR1572020	Adipose	3.373770414
SRR1572036	Adipose	3.37991715
SRR3160025	Adipose	3.387408038
SRR7144123	Adipose	3.390192074
SRR2995134	Adipose	3.405263342
M300_1PF	Adipose	3.420488466
SRR1572010	Adipose	3.42112256
SRR1572009	Adipose	3.429555979
SRR8177205	Adipose	3.449771722
SRR8844258	Adipose	3.480123302
SRR2995144	Adipose	3.514897761
SRR8177210	Adipose	3.524763534
SRR1572030	Adipose	3.52478923
SRR1572026	Adipose	3.550354627
SRR768469	Adipose	3.56463388
SRR768468	Adipose	3.566466674
SRR8177211	Adipose	3.598746078
SRR8844260	Adipose	3.599854776
SRR2994963	Adipose	3.608325977
SRR1572041	Adipose	3.63953769
SRR1572038	Adipose	3.648846545
SRR8177215	Adipose	3.652083172
SRR1572040	Adipose	3.710558613
SRR8306936	Adipose	3.816779597
SRR2995151	Adipose	3.860570347
SRR8844256	Adipose	3.948766505
SRR8844257	Adipose	3.964704514
SRR8844259	Adipose	3.96981616
SRR4299265	Adipose	4.034353339
SRR1572025	Adipose	4.048671789
SRR8306939	Adipose	4.110962766
SRR8306931	Adipose	4.47476037
SRR8306938	Adipose	4.490413017
SRR8306929	Adipose	4.580496284
SRR8306930	Adipose	4.582811222
SRR8306935	Adipose	4.695629977
SRR8306934	Adipose	4.697192778
