Samples	PC1_Expr	PC1_Methyl	PC2_Expr	PC2_Methyl	Stages	Breeds
LD0_2	12.8902	51.99	4.735	93.2967	D0	LDR
LD0_3	19.1953	72.0362	6.4957	84.9861	D0	LDR
LD9_1	18.5863	120.833	11.8087	71.3949	D9	LDR
LD9_2	23.5643	95.1584	11.494	74.4337	D9	LDR
LD9_3	24.3242	106.1271	11.2213	72.1637	D9	LDR
LD20_1	20.5088	83.9269	12.6654	98.7296	D20	LDR
LD20_2	25.3216	185.3549	11.7003	37.4222	D20	LDR
LD20_3	24.9786	157.0757	11.2096	56.9665	D20	LDR
LD30_1	30.4052	147.5129	8.155	62.4792	D30	LDR
LD30_2	32.925	142.9942	10.2055	63.6581	D30	LDR
LD30_3	34.5722	137.7169	6.9299	62.7418	D30	LDR
LD40_1	30.1364	144.2253	13.3596	82.9311	D40	LDR
LD40_2	30.5347	128.9739	13.0818	86.1724	D40	LDR
LD40_3	25.3483	107.8439	12.9917	98.48	D40	LDR
LD60_1	29.4019	138.6867	12.2326	68.563	D60	LDR
LD60_2	28.7615	155.4323	14.5201	67.7263	D60	LDR
LD60_3	27.0151	158.6903	13.4698	64.7603	D60	LDR
LD80_1	32.4143	149.3406	15.425	80.2335	D80	LDR
LD80_2	36.0601	138.4708	14.9505	82.4722	D80	LDR
LD80_3	39.4643	155.4402	12.4566	75.3584	D80	LDR
LD100_1	34.1252	212.2939	14.4761	46.5281	D100	LDR
LD100_2	29.4103	207.5186	13.0408	49.0535	D100	LDR
LD100_3	31.4268	211.7451	15.1703	46.2661	D100	LDR
LD120_1	36.8126	225.4044	13.6893	39.2964	D120	LDR
LD120_2	35.0644	219.7628	13.2344	30.8597	D120	LDR
LD120_3	33.4215	170.2498	12.9302	51.3564	D120	LDR
LD140_1	34.1531	208.6525	13.1212	56.3249	D140	LDR
LD140_2	36.084	215.9255	13.1535	58.0884	D140	LDR
LD140_3	36.8611	214.1586	12.7611	51.0739	D140	LDR
LD160_1	35.2167	190.6996	14.4129	61.8995	D160	LDR
LD160_2	35.0025	207.0751	12.0842	60.9985	D160	LDR
LD160_3	34.6946	204.7167	15.1722	56.4883	D160	LDR
LD180_1	37.9932	247.6146	14.3184	27.9593	D180	LDR
LD180_2	37.4626	254.7289	13.4484	24.9423	D180	LDR
LD180_3	33.7807	264.8851	12.3934	21.5591	D180	LDR
